"id","yi","vi","se"
1,-0.192274896376989,0.101640869793589,0.318811652537339
2,0.0873119078760073,0.0476914350538854,0.218383687700994
3,0.233661433791912,0.0534730559555687,0.23124241815802
4,-0.173544548646578,0.0202997554217483,0.142477210183763
5,0.290847007264415,0.0308491662842525,0.175639307343922
6,0.082958769487226,0.0379435998010477,0.194791169720416
7,0.522099746143327,0.0857929819026449,0.292904390377893
8,0.621627544369673,0.0225130044054768,0.150043341756563
9,-0.0274616054453943,0.0463396570457344,0.215266479150225
10,0.792614768095575,0.00986009804188367,0.0992980263745643
11,0.512913163436149,0.0131945942672165,0.114867725089411
12,0.182164998041348,0.0166236797949382,0.128932849944993
13,0.404959100485287,0.0182409171591982,0.135058939575277
14,-0.0156323660251129,0.00262948137103185,0.0512784688834588
40,0.0453059928721633,0.00265117797472567,0.0514895909356995
15,0.0981128337147028,0.00241160900467355,0.0491081358297538
41,0.0801535066280415,0.00242493267567112,0.0492436054292445
16,-0.00590215841697393,0.00190259777705254,0.0436187778032872
17,-0.00578667702533525,0.000809024906618853,0.028443363138329
42,0.0116404609471834,0.0008133439635833,0.0285191858857033
43,0.0115603661208216,0.000813074340666487,0.0285144584494689
19,0.0422383830092392,0.054761699944921,0.234012179052546
20,0.0891353325207736,0.0615945173268921,0.248182427514303
21,0.26694031087709,0.127937838932968,0.357683993118182
22,-0.275951190517822,0.134678416856353,0.366985581264922
23,0.171444748574259,0.0633881539094188,0.251770041723432
25,0.029783874728117,0.218655808496255,0.467606467551781
26,-0.100597862087705,0.112436639320395,0.335315730797699
27,0.22176383853172,0.111794155556671,0.334356330217735
28,0.154588298823129,0.168849100750834,0.410912522017563
29,0.534038829890321,0.141469275100692,0.376124015586205
30,1.58423483107777,0.0262745,0.16209410846789
31,0.419362310095405,0.0467800318377552,0.216286920172615
32,0.321636058899261,0.0300192203095967,0.17326055612746
33,-0.325331464390002,0.168871678369211,0.410939993635581
34,-0.0226634769854047,0.0586735907566344,0.242226321353883
35,-0.0445231599064365,0.0682074393859465,0.261165540196149
36,0.601104605412275,0.0696777228887321,0.263965381989253
37,-0.880669168862315,0.156706753303297,0.3958620382195
38,-0.311841462989154,0.0451421568627451,0.212466837089333
39,0.0133305247711415,0.0502495654615889,0.224164148475149
