"sub","demand","trial","block.num","happy","att.chk","awr","mot","pre","bel","opp","mot_gen","indiv_gend_var","indiv_agee_var","ethnicity"
"20","nil","hap","2",0.666666666666667,1,"2",-2,1,1,3,2,"1",19,"6"
"20","nil","neu","2",0,1,"2",-2,1,1,3,2,"1",19,"6"
"21","nil","hap","1",3,1,"2",0,1,0,2,0,"1",20,"1,4"
"21","nil","neu","1",0,1,"2",0,1,0,2,0,"1",20,"1,4"
"21","nil","hap","2",2,1,"2",0,1,0,2,0,"1",20,"1,4"
"21","nil","neu","2",0,1,"2",0,1,0,2,0,"1",20,"1,4"
"22","pos","hap","1",4.66666666666667,1,"1",3,2,3,3,0,"1",19,"1,4"
"22","pos","neu","1",0.666666666666667,1,"1",3,2,3,3,0,"1",19,"1,4"
"22","pos","hap","2",5,1,"1",3,2,3,3,0,"1",19,"1,4"
"22","pos","neu","2",0.666666666666667,1,"1",3,2,3,3,0,"1",19,"1,4"
"23","nil","hap","1",5,1,"2",3,0,3,4,3,"2",20,"4"
"23","nil","neu","1",2.66666666666667,1,"2",3,0,3,4,3,"2",20,"4"
"23","nil","hap","2",3.33333333333333,1,"2",3,0,3,4,3,"2",20,"4"
"23","nil","neu","2",3.33333333333333,1,"2",3,0,3,4,3,"2",20,"4"
"24","pos","hap","1",1.66666666666667,1,"2",1,0,0,3,0,"2",21,"4"
"24","pos","neu","1",0.333333333333333,1,"2",1,0,0,3,0,"2",21,"4"
"24","pos","hap","2",1,1,"2",1,0,0,3,0,"2",21,"4"
"24","pos","neu","2",0,1,"2",1,0,0,3,0,"2",21,"4"
"25","nil","hap","1",0,1,"2",0,1,1,1,0,"1",22,"4"
"25","nil","neu","1",0,1,"2",0,1,1,1,0,"1",22,"4"
"25","nil","hap","2",0,1,"2",0,1,1,1,0,"1",22,"4"
"25","nil","neu","2",0,1,"2",0,1,1,1,0,"1",22,"4"
"26","pos","hap","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","pos","neu","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","pos","hap","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","pos","neu","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","pos","hap","1",4.33333333333333,1,"1",2,2,2,3,0,"1",19,"1"
"27","pos","neu","1",0.333333333333333,1,"1",2,2,2,3,0,"1",19,"1"
"27","pos","hap","2",2.33333333333333,1,"1",2,2,2,3,0,"1",19,"1"
"27","pos","neu","2",0.666666666666667,1,"1",2,2,2,3,0,"1",19,"1"
"28","nil","hap","1",0.333333333333333,1,"1",0,0,2,4,0,"2",20,"1"
"28","nil","neu","1",0,1,"1",0,0,2,4,0,"2",20,"1"
"28","nil","hap","2",0,1,"1",0,0,2,4,0,"2",20,"1"
"28","nil","neu","2",0,1,"1",0,0,2,4,0,"2",20,"1"
"29","pos","hap","1",1,1,"1",0,0,1,1,1,"1",20,"4"
"29","pos","neu","1",0.666666666666667,1,"1",0,0,1,1,1,"1",20,"4"
"29","pos","hap","2",0,1,"1",0,0,1,1,1,"1",20,"4"
"29","pos","neu","2",0,1,"1",0,0,1,1,1,"1",20,"4"
"30","nil","hap","1",4.33333333333333,1,"2",0,0,0,3,2,"1",22,"1"
"30","nil","neu","1",2.33333333333333,1,"2",0,0,0,3,2,"1",22,"1"
"30","nil","hap","2",5.33333333333333,1,"2",0,0,0,3,2,"1",22,"1"
"30","nil","neu","2",4.66666666666667,1,"2",0,0,0,3,2,"1",22,"1"
"31","pos","hap","1",3,1,"1",2,2,0,4,0,"1",21,"1"
"31","pos","neu","1",3.66666666666667,1,"1",2,2,0,4,0,"1",21,"1"
"31","pos","hap","2",1,1,"1",2,2,0,4,0,"1",21,"1"
"31","pos","neu","2",3,1,"1",2,2,0,4,0,"1",21,"1"
"32","nil","hap","1",1.66666666666667,1,"1",0,1,-1,1,1,"2",18,"1"
"32","nil","neu","1",0,1,"1",0,1,-1,1,1,"2",18,"1"
"32","nil","hap","2",2,1,"1",0,1,-1,1,1,"2",18,"1"
"32","nil","neu","2",0,1,"1",0,1,-1,1,1,"2",18,"1"
"33","pos","hap","1",1.66666666666667,1,"1",-2,3,3,3,0,"1",21,"1"
"33","pos","neu","1",0.333333333333333,1,"1",-2,3,3,3,0,"1",21,"1"
"33","pos","hap","2",1.66666666666667,1,"1",-2,3,3,3,0,"1",21,"1"
"33","pos","neu","2",0,1,"1",-2,3,3,3,0,"1",21,"1"
"34","nil","hap","1",1,1,"2",-1,0,-1,1,0,"1",20,"4"
"34","nil","neu","1",0,1,"2",-1,0,-1,1,0,"1",20,"4"
"34","nil","hap","2",0,1,"2",-1,0,-1,1,0,"1",20,"4"
"34","nil","neu","2",0,1,"2",-1,0,-1,1,0,"1",20,"4"
"35","pos","hap","1",2,1,"1",0,0,1,3,0,"1",21,"4"
"35","pos","neu","1",0,1,"1",0,0,1,3,0,"1",21,"4"
"35","pos","hap","2",2.33333333333333,1,"1",0,0,1,3,0,"1",21,"4"
"35","pos","neu","2",0,1,"1",0,0,1,3,0,"1",21,"4"
"36","nil","hap","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nil","neu","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nil","hap","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nil","neu","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nil","hap","1",1,1,"2",0,-1,2,2,0,"1",18,"1,4"
"37","nil","neu","1",0,1,"2",0,-1,2,2,0,"1",18,"1,4"
"37","nil","hap","2",0,1,"2",0,-1,2,2,0,"1",18,"1,4"
"37","nil","neu","2",0,1,"2",0,-1,2,2,0,"1",18,"1,4"
"38","pos","hap","1",4,1,"1",0,0,1,2,0,"1",18,"4"
"38","pos","neu","1",1,1,"1",0,0,1,2,0,"1",18,"4"
"38","pos","hap","2",4,1,"1",0,0,1,2,0,"1",18,"4"
"38","pos","neu","2",0,1,"1",0,0,1,2,0,"1",18,"4"
"39","nil","hap","1",0.333333333333333,1,"1",0,1,-2,4,0,"1",20,"2,6"
"39","nil","neu","1",0,1,"1",0,1,-2,4,0,"1",20,"2,6"
"39","nil","hap","2",0,1,"1",0,1,-2,4,0,"1",20,"2,6"
"39","nil","neu","2",0,1,"1",0,1,-2,4,0,"1",20,"2,6"
"40","pos","hap","1",2,1,"1",0,1,1,3,2,"1",21,"1"
"40","pos","neu","1",1.33333333333333,1,"1",0,1,1,3,2,"1",21,"1"
"40","pos","hap","2",3,1,"1",0,1,1,3,2,"1",21,"1"
"40","pos","neu","2",0.666666666666667,1,"1",0,1,1,3,2,"1",21,"1"
"41","pos","hap","1",0.666666666666667,1,"1",2,2,2,2,NA,NA,NA,NA
"41","pos","neu","1",2.66666666666667,1,"1",2,2,2,2,NA,NA,NA,NA
"41","pos","hap","2",1.66666666666667,1,"1",2,2,2,2,NA,NA,NA,NA
"41","pos","neu","2",0.666666666666667,1,"1",2,2,2,2,NA,NA,NA,NA
"42","nil","hap","1",2.66666666666667,1,"2",1,1,1,2,2,"1",18,"4"
"42","nil","neu","1",1,1,"2",1,1,1,2,2,"1",18,"4"
"42","nil","hap","2",2,1,"2",1,1,1,2,2,"1",18,"4"
"42","nil","neu","2",1,1,"2",1,1,1,2,2,"1",18,"4"
