"ResponseId","sex","age","attention_check","lab","modality","incentive","orientation","info","prq_g_1","prq_g_2","prq_o_1","prq_o_2","prq_a_1","prq_a_2","prq_p_1","prq_p_2","prq_n_1","prq_n_2","prq_w_1","prq_w_2","trial","value","info.pres","just"
"R_6WUtw1L3GvGJmXZ",2,57,4,"DNK_01","online","paid","left.c","conform",8,5,3,1,2,5,8,4,7,2,4,5,"stim_lef_lar_mkn",2,"no","left"
"R_6WUtw1L3GvGJmXZ",2,57,4,"DNK_01","online","paid","left.c","conform",8,5,3,1,2,5,8,4,7,2,4,5,"stim_rig_lar_mky",1,"yes","right"
"R_6WUtw1L3GvGJmXZ",2,57,4,"DNK_01","online","paid","left.c","conform",8,5,3,1,2,5,8,4,7,2,4,5,"stim_rig_sma_mky",2,"yes","right"
"R_8hX3ziEhZGd9LKC",2,22,4,"DNK_01","online","paid","left.c","conform",5,5,5,5,6,5,5,5,5,6,5,5,"stim_lef_sma_mkn",3,"no","left"
"R_8hX3ziEhZGd9LKC",2,22,4,"DNK_01","online","paid","left.c","conform",5,5,5,5,6,5,5,5,5,6,5,5,"stim_lef_lar_mkn",3,"no","left"
"R_8hX3ziEhZGd9LKC",2,22,4,"DNK_01","online","paid","left.c","conform",5,5,5,5,6,5,5,5,5,6,5,5,"stim_rig_lar_mky",3,"yes","right"
"R_8hX3ziEhZGd9LKC",2,22,4,"DNK_01","online","paid","left.c","conform",5,5,5,5,6,5,5,5,5,6,5,5,"stim_rig_sma_mky",7,"yes","right"
"R_8JLA4MGlZlUxGNy",1,30,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,6,10,10,10,1,3,7,10,"stim_lef_sma_mkn",2,"no","left"
"R_8JLA4MGlZlUxGNy",1,30,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,6,10,10,10,1,3,7,10,"stim_lef_lar_mkn",4,"no","left"
"R_8JLA4MGlZlUxGNy",1,30,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,6,10,10,10,1,3,7,10,"stim_rig_lar_mky",7,"yes","right"
"R_8JLA4MGlZlUxGNy",1,30,4,"DNK_01","online","paid","left.c","conform",1,1,10,10,6,10,10,10,1,3,7,10,"stim_rig_sma_mky",6,"yes","right"
"R_4HG1tTyncqcqRqh",2,21,5,"TUR_01","online","credit","left.c","demand",2,1,6,7,6,9,1,1,8,7,9,10,"stim_lef_sma_mkn",2,"no","left"
"R_4HG1tTyncqcqRqh",2,21,5,"TUR_01","online","credit","left.c","demand",2,1,6,7,6,9,1,1,8,7,9,10,"stim_lef_lar_mkn",3,"no","left"
"R_4HG1tTyncqcqRqh",2,21,5,"TUR_01","online","credit","left.c","demand",2,1,6,7,6,9,1,1,8,7,9,10,"stim_rig_lar_mky",2,"yes","right"
"R_4HG1tTyncqcqRqh",2,21,5,"TUR_01","online","credit","left.c","demand",2,1,6,7,6,9,1,1,8,7,9,10,"stim_rig_sma_mky",2,"yes","right"
"R_4vffo1Zjx198UNC",1,22,4,"MYS_01","online","volunteer","left.c","demand",1,1,7,7,2,2,6,6,1,2,6,6,"stim_lef_sma_mkn",4,"no","left"
"R_4vffo1Zjx198UNC",1,22,4,"MYS_01","online","volunteer","left.c","demand",1,1,7,7,2,2,6,6,1,2,6,6,"stim_lef_lar_mkn",3,"no","left"
"R_4vffo1Zjx198UNC",1,22,4,"MYS_01","online","volunteer","left.c","demand",1,1,7,7,2,2,6,6,1,2,6,6,"stim_rig_lar_mky",2,"yes","right"
"R_4vffo1Zjx198UNC",1,22,4,"MYS_01","online","volunteer","left.c","demand",1,1,7,7,2,2,6,6,1,2,6,6,"stim_rig_sma_mky",3,"yes","right"
"R_45Bc6M2SuD8cS1f",2,22,5,"MYS_01","online","volunteer","left.c","demand",10,10,10,2,1,6,1,7,1,3,2,2,"stim_lef_sma_mkn",2,"no","left"
"R_45Bc6M2SuD8cS1f",2,22,5,"MYS_01","online","volunteer","left.c","demand",10,10,10,2,1,6,1,7,1,3,2,2,"stim_lef_lar_mkn",2,"no","left"
"R_45Bc6M2SuD8cS1f",2,22,5,"MYS_01","online","volunteer","left.c","demand",10,10,10,2,1,6,1,7,1,3,2,2,"stim_rig_lar_mky",1,"yes","right"
"R_45Bc6M2SuD8cS1f",2,22,5,"MYS_01","online","volunteer","left.c","demand",10,10,10,2,1,6,1,7,1,3,2,2,"stim_rig_sma_mky",1,"yes","right"
"R_4LIJO2VuiITGtZD",2,24,4,"MYS_01","online","volunteer","left.c","demand",8,5,7,6,8,8,7,9,6,2,8,7,"stim_lef_sma_mkn",3,"no","left"
"R_4LIJO2VuiITGtZD",2,24,4,"MYS_01","online","volunteer","left.c","demand",8,5,7,6,8,8,7,9,6,2,8,7,"stim_lef_lar_mkn",1,"no","left"
"R_4LIJO2VuiITGtZD",2,24,4,"MYS_01","online","volunteer","left.c","demand",8,5,7,6,8,8,7,9,6,2,8,7,"stim_rig_lar_mky",1,"yes","right"
"R_4LIJO2VuiITGtZD",2,24,4,"MYS_01","online","volunteer","left.c","demand",8,5,7,6,8,8,7,9,6,2,8,7,"stim_rig_sma_mky",2,"yes","right"
"R_2xqWbmiMeZU9Mrv",1,NA,2,"DNK_01","online","paid","left.c","demand",9,3,9,9,4,6,6,1,6,7,2,3,"stim_lef_sma_mkn",3,"no","left"
"R_2xqWbmiMeZU9Mrv",1,NA,2,"DNK_01","online","paid","left.c","demand",9,3,9,9,4,6,6,1,6,7,2,3,"stim_lef_lar_mkn",4,"no","left"
"R_2xqWbmiMeZU9Mrv",1,NA,2,"DNK_01","online","paid","left.c","demand",9,3,9,9,4,6,6,1,6,7,2,3,"stim_rig_lar_mky",7,"yes","right"
"R_2xqWbmiMeZU9Mrv",1,NA,2,"DNK_01","online","paid","left.c","demand",9,3,9,9,4,6,6,1,6,7,2,3,"stim_rig_sma_mky",7,"yes","right"
"R_4BrsneV8CqTDNc3",2,2002,4,"MYS_01","online","volunteer","left.c","conform",7,7,2,7,7,8,5,7,5,1,8,8,"stim_lef_sma_mkn",2,"no","left"
"R_4BrsneV8CqTDNc3",2,2002,4,"MYS_01","online","volunteer","left.c","conform",7,7,2,7,7,8,5,7,5,1,8,8,"stim_lef_lar_mkn",3,"no","left"
"R_4BrsneV8CqTDNc3",2,2002,4,"MYS_01","online","volunteer","left.c","conform",7,7,2,7,7,8,5,7,5,1,8,8,"stim_rig_lar_mky",3,"yes","right"
"R_4BrsneV8CqTDNc3",2,2002,4,"MYS_01","online","volunteer","left.c","conform",7,7,2,7,7,8,5,7,5,1,8,8,"stim_rig_sma_mky",4,"yes","right"
"R_4fs1hS13FcE6mSy",1,22,4,"MYS_01","online","volunteer","left.c","demand",3,8,1,8,7,2,2,1,1,1,8,6,"stim_lef_sma_mkn",2,"no","left"
"R_4fs1hS13FcE6mSy",1,22,4,"MYS_01","online","volunteer","left.c","demand",3,8,1,8,7,2,2,1,1,1,8,6,"stim_lef_lar_mkn",2,"no","left"
"R_4fs1hS13FcE6mSy",1,22,4,"MYS_01","online","volunteer","left.c","demand",3,8,1,8,7,2,2,1,1,1,8,6,"stim_rig_lar_mky",2,"yes","right"
"R_4fs1hS13FcE6mSy",1,22,4,"MYS_01","online","volunteer","left.c","demand",3,8,1,8,7,2,2,1,1,1,8,6,"stim_rig_sma_mky",2,"yes","right"
"R_4RvV8CSsXk4vzi1",2,23,4,"MYS_01","online","volunteer","left.c","conform",7,9,1,5,5,2,1,2,1,1,3,4,"stim_lef_sma_mkn",3,"no","left"
"R_4RvV8CSsXk4vzi1",2,23,4,"MYS_01","online","volunteer","left.c","conform",7,9,1,5,5,2,1,2,1,1,3,4,"stim_lef_lar_mkn",2,"no","left"
"R_4RvV8CSsXk4vzi1",2,23,4,"MYS_01","online","volunteer","left.c","conform",7,9,1,5,5,2,1,2,1,1,3,4,"stim_rig_lar_mky",2,"yes","right"
"R_4RvV8CSsXk4vzi1",2,23,4,"MYS_01","online","volunteer","left.c","conform",7,9,1,5,5,2,1,2,1,1,3,4,"stim_rig_sma_mky",3,"yes","right"
"R_49MWtTIWnirPIC5",2,21,4,"MYS_01","online","volunteer","left.c","conform",3,4,3,1,1,3,1,1,1,1,1,4,"stim_lef_sma_mkn",2,"no","left"
