"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"3863","12522","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.49959999999999999","pos","258","129","129","d","NA","1982","P","Y"
"3864","12523","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.46110000000000001","pos","258","129","129","d","NA","1982","P","Y"
"3865","12524","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.38250000000000001","pos","258","129","129","d","NA","1982","P","Y"
"3866","12525","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","1E-4","pos","258","129","129","d","NA","1982","P","Y"
"3867","12526","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","1E-4","pos","258","129","129","d","NA","1982","P","Y"
"3868","12527","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","8.0199999999999994E-2","neg","258","129","129","d","NA","1982","P","Y"
"3869","12528","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.28389999999999999","pos","553","276","277","d","NA","1987","P","Y"
"3870","12529","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.28389999999999999","pos","553","276","277","d","NA","1987","P","Y"
"3871","12530","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","6.3E-2","pos","459","235","224","d","NA","1989","P","Y"
"3872","12531","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.74580000000000002","pos","628","314","314","d","NA","1999","P","Y"
"3873","12532","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.69750000000000001","pos","194","97","97","d","NA","2002","P","Y"
"3874","12533","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.92259999999999998","pos","344","172","172","d","NA","2002","P","Y"
"3875","12534","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","1.9007000000000001","pos","404","202","202","d","NA","2013","P","Y"
"3876","12535","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","6.6799999999999998E-2","neg","78","40","38","d","NA","2010","P","Y"
"3877","12536","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.30499999999999999","pos","78","40","38","d","NA","2010","P","Y"
"3878","12537","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0","null","76","38","38","d","NA","2010","P","Y"
"3879","12538","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.1099","pos","54","24","30","d","NA","2010","P","Y"
"3880","12539","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.67459999999999998","pos","54","26","28","d","NA","2010","P","Y"
"3881","12540","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","9.7100000000000006E-2","pos","54","24","30","d","NA","2010","P","Y"
"3882","12541","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","9.3299999999999994E-2","pos","44","22","22","d","NA","2016","P","Y"
"3883","12542","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.26500000000000001","neg","44","22","22","d","NA","2016","P","Y"
"3884","12543","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.40989999999999999","pos","44","22","22","d","NA","2016","P","Y"
"3885","12544","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.36759999999999998","pos","44","22","22","d","NA","2016","P","Y"
"3886","12545","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.43780000000000002","pos","44","22","22","d","NA","2016","P","Y"
"3887","12546","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","5.1499999999999997E-2","pos","44","22","22","d","NA","2016","P","Y"
"3888","12547","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.2828","neg","44","22","22","d","NA","2016","P","Y"
"3889","12548","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","1.4313","pos","44","22","22","d","NA","2016","P","Y"
"3890","12549","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","4.2500000000000003E-2","pos","44","22","22","d","NA","2016","P","Y"
"3891","12550","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.2311","pos","43","21","22","d","NA","2016","P","Y"
"3892","12551","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.74370000000000003","pos","43","21","22","d","NA","2016","P","Y"
"3893","12552","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.54049999999999998","pos","43","21","22","d","NA","2016","P","Y"
"3894","12553","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.35820000000000002","neg","28","11","17","d","NA","2014","P","Y"
"3895","12554","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.2203","pos","28","11","17","d","NA","2014","P","Y"
"3896","12555","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.31230000000000002","pos","54","21","33","d","NA","2014","P","Y"
"3897","12556","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","1.4528000000000001","pos","54","21","33","d","NA","2014","P","Y"
"3898","12557","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.42520000000000002","neg","20","5","15","d","NA","2014","P","Y"
"3899","12558","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.4511","pos","20","5","15","d","NA","2014","P","Y"
"3900","12559","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.15079999999999999","pos","46","25","21","d","NA","2014","P","Y"
"3901","12560","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.26569999999999999","pos","46","25","21","d","NA","2014","P","Y"
"3902","12561","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.13009999999999999","pos","57","31","26","d","NA","2016","P","Y"
"3903","12562","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","6.1100000000000002E-2","neg","58","25","33","d","NA","2016","P","Y"
"3904","12563","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","9.9599999999999994E-2","pos","60","28","32","d","NA","2016","P","Y"
